Reactions standart Gibbe energy,,,,,,
Reaction index,Reaction name,ec number,Formula,Sub-System,standart Gibbs energy (kJ/mol),standart deviation (kJ/mol)
1359,Hydroxybenzoate octaprenyltransferase,unknown, (-1) 4hbz[c] +  (-1) octdp[c] <=>  (1) 3ophb[c] +  (1) ppi[c],Cofactor and Prosthetic Group Biosynthesis,-72.88340318,2.191114382
1360," 3-hydroxycinnamic acid transport via proton symport, reversible (periplasm)",unknown, (-1) 3hcinnm[p] <=>  (1) 3hcinnm[c],"Transport, Inner Membrane",0,0
1361, 3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),unknown, (-1) 3hcinnm[e] <=>  (1) 3hcinnm[p],"Transport, Outer Membrane Porin",0,0
1362,HCO3 equilibration reaction,4.2.1.1, (-1) co2[c] +  (-1) h2o[c] <=>  (1) hco3[c],Unassigned,-0.153869812,0
1363,homocysteine S-methyltransferase,2.1.1.10, (-1) amet[c] +  (-1) hcys-DASH-L[c] <=>  (1) ahcys[c] +  (1) met-DASH-L[c],Methionine Metabolism,0,1000000
1364,Homocysteine Methyltransferase,unknown, (-1) hcys-DASH-L[c] +  (-1) mmet[c] <=>  (2) met-DASH-L[c],Methionine Metabolism,0,1000000
1365,Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),unknown, (-1) hdca[e] <=>  (1) hdca[p],"Transport, Outer Membrane",0,0
1366,Hexadecenoate transport via facilitated irreversible diffusion (extracellular to periplasm),unknown, (-1) hdcea[e] <=>  (1) hdcea[p],"Transport, Outer Membrane",0,0
1367,hexadecenoyl-coa cis-trans isomerization,5.3.3.8, (-1) hdcoa[c] <=>  (1) hdd2coa[c],Membrane Lipid Metabolism,0,0
1368,Heme O synthase,unknown, (-1) frdp[c] +  (-1) h2o[c] +  (-1) pheme[c] <=>  (1) hemeO[c] +  (1) ppi[c],Cofactor and Prosthetic Group Biosynthesis,0,1000000
1369,LPS heptose kinase I (LPS core synthesis),unknown, (-1) atp[c] +  (-1) hhlipa[c] <=>  (1) adp[c] +  (1) phhlipa[c],Lipopolysaccharide Biosynthesis / Recycling,-27.85109991,1.109822909
1370,LPS heptose kinase II (LPS core synthesis),unknown, (-1) atp[c] +  (-1) hphhlipa[c] <=>  (1) adp[c] +  (1) phphhlipa[c],Lipopolysaccharide Biosynthesis / Recycling,-33.42964003,1.109822909
1371,heptosyltransferase I (LPS core synthesis),unknown, (-1) adphep-DASH-LD[c] +  (-1) lipa[c] <=>  (1) adp[c] +  (1) hlipa[c],Lipopolysaccharide Biosynthesis / Recycling,-11.11731053,3.55804118
1372,heptosyltransferase II (LPS core synthesis),unknown, (-1) adphep-DASH-LD[c] +  (-1) hlipa[c] <=>  (1) adp[c] +  (1) hhlipa[c],Lipopolysaccharide Biosynthesis / Recycling,-11.11731053,3.55804118
1373,heptosyltransferase III (LPS core synthesis),unknown, (-1) adphep-DASH-LD[c] +  (-1) phhlipa[c] <=>  (1) adp[c] +  (1) hphhlipa[c],Lipopolysaccharide Biosynthesis / Recycling,-17.87823613,3.816612749
1374,heptosyltransferase IV (LPS core synthesis),unknown, (-1) adphep-DASH-LD[c] +  (-1) gggagicolipa[c] <=>  (1) adp[c] +  (1) colipa[c],Lipopolysaccharide Biosynthesis / Recycling,-17.87823613,3.816612749
1375,hydroxyethylthiazole kinase,2.7.1.50, (-1) 4mhetz[c] +  (-1) atp[c] <=>  (1) 4mpetz[c] +  (1) adp[c],Cofactor and Prosthetic Group Biosynthesis,-16.96935793,1.913802036
1376,hexokinase (D-glucose:ATP),2.7.1.1, (-1) atp[c] +  (-1) glc-DASH-D[c] <=>  (1) adp[c] +  (1) g6p[c],Glycolysis/Gluconeogenesis,-17.61506049,0.540427601
1377,hexokinase (D-mannose:ATP),2.7.1.7, (-1) atp[c] +  (-1) man[c] <=>  (1) adp[c] +  (1) man6p[c],Alternate Carbon Metabolism,-17.61506049,0.540427601
1378,hexokinase (D-fructose:ATP),2.7.1.1, (-1) atp[c] +  (-1) fru[c] <=>  (1) adp[c] +  (1) f6p[c],Alternate Carbon Metabolism,-17.10275472,0.984782214
1379,"hexanoate transport via proton symport, reversible (periplasm)",unknown, (-1) hxa[p] <=>  (1) hxa[c],"Transport, Inner Membrane",0,0
1380,Mercury (Hg+2) ABC transporter (periplasm),unknown, (-1) atp[c] +  (-1) h2o[c] +  (-1) hg2[c] <=>  (1) adp[c] +  (1) hg2[p] +  (1) pi[c],Inorganic Ion Transport and Metabolism,-29.4361481,1.459542669
1381,mercury (Hg+2) transport out via proton antiport (periplasm),unknown, (-1) hg2[c] <=>  (1) hg2[p],Inorganic Ion Transport and Metabolism,0,0
1382,mercury (Hg+2) transport via diffusion (extracellular to periplasm),unknown, (-1) hg2[e] <=>  (1) hg2[p],"Transport, Outer Membrane Porin",0,0
1383,histidinol dehydrogenase,1.1.1.23, (-1) h2o[c] +  (-1) histd[c] +  (-2) nad[c] <=>  (1) his-DASH-L[c] +  (2) nadh[c],Histidine Metabolism,-13.64241585,2.97011778
1384,histidinol-phosphatase,3.1.3.15, (-1) h2o[c] +  (-1) hisp[c] <=>  (1) histd[c] +  (1) pi[c],Histidine Metabolism,-14.29497457,2.367974051
1385,Histidyl-tRNA synthetase,6.1.1.21, (-1) atp[c] +  (-1) his-DASH-L[c] +  (-1) trnahis[c] <=>  (1) amp[c] +  (1) histrna[c] +  (1) ppi[c],tRNA Charging,-66.97409305,3.667451979
1386,L-histidine transport via ABC system (periplasm),unknown, (-1) atp[c] +  (-1) h2o[c] +  (-1) his-DASH-L[p] <=>  (1) adp[c] +  (1) his-DASH-L[c] +  (1) pi[c],"Transport, Inner Membrane",-29.4361481,1.459542669
1387,L-histidine reversible transport via proton symport (periplasm),unknown, (-1) his-DASH-L[p] <=>  (1) his-DASH-L[c],"Transport, Inner Membrane",0,0
1388,L-histidine transport via diffusion (extracellular to periplasm),unknown, (-1) his-DASH-L[e] <=>  (1) his-DASH-L[p],"Transport, Outer Membrane Porin",0,0
1389," 2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase",unknown, (-1) h2o[c] +  (-1) hkndd[c] <=>  (1) op4en[c] +  (1) succ[c],Alternate Carbon Metabolism,-68.83359581,2.88965573
1390, 2-hydroxy-6-ketononotrienedioate hydrolase,unknown, (-1) h2o[c] +  (-1) hkntd[c] <=>  (1) fum[c] +  (1) op4en[c],Alternate Carbon Metabolism,-68.48503819,1.993683758
1391,hydroxymethylbilane synthase,4.3.1.8, (-1) h2o[c] +  (-4) ppbng[c] <=>  (1) hmbil[c] +  (4) nh4[c],Cofactor and Prosthetic Group Biosynthesis,-136.7511324,7.724377934
1392,hydroxymethylpyrimidine kinase (ATP),2.7.1.49, (-1) 4ahmmp[c] +  (-1) atp[c] <=>  (1) 4ampm[c] +  (1) adp[c],Cofactor and Prosthetic Group Biosynthesis,-18.13077704,0.571100896
1393,L-homoserineserine efflux via proton symport,unknown, (-1) hom-DASH-L[c] <=>  (1) hom-DASH-L[p],"Transport, Inner Membrane",0,0
1394,L-homoserine transport via diffusion (extracellular to periplasm),unknown, (-1) hom-DASH-L[e] <=>  (1) hom-DASH-L[p],"Transport, Outer Membrane Porin",0,0
1395, 4-hydroxy-2-oxopentanoate aldolase,unknown, (-1) 4h2opntn[c] <=>  (1) acald[c] +  (1) pyr[c],Alternate Carbon Metabolism,8.006982195,1.346843336
1396, 6-hydroxymethyl-dihydropterin pyrophosphokinase,unknown, (-1) 6hmhpt[c] +  (-1) atp[c] <=>  (1) 6hmhptpp[c] +  (1) amp[c],Cofactor and Prosthetic Group Biosynthesis,-17.6410566,1.073627514
1397," 2,3-dihydroxypheylpropionate 1,2-dioxygenase",1.13.11.16, (-1) dhpppn[c] +  (-1) o2[c] <=>  (1) hkndd[c],Alternate Carbon Metabolism,-299.3443542,7.555008338
1398," 3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)",unknown, (-1) 3hpppn[p] <=>  (1) 3hpppn[c],"Transport, Inner Membrane",0,0
1399, 3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),unknown, (-1) 3hpppn[e] <=>  (1) 3hpppn[p],"Transport, Outer Membrane Porin",0,0
1400,hydroxypyruvate isomerase,5.3.1.22, (-1) hpyr[c] <=>  (1) 2h3oppan[c],Alternate Carbon Metabolism,-3.029752882,3.673220417
1401,Hydroxypyruvate reductase (NADH),unknown, (-1) hpyr[c] +  (-1) nadh[c] <=>  (1) glyc-DASH-R[c] +  (1) nad[c],Alternate Carbon Metabolism,-30.90777965,1.13041442
1402,Hydroxypyruvate reductase (NADPH),unknown, (-1) hpyr[c] +  (-1) nadph[c] <=>  (1) glyc-DASH-R[c] +  (1) nadp[c],Alternate Carbon Metabolism,-28.8987776,1.13041442
1403,homoserine dehydrogenase (NADPH),1.1.1.3, (-1) hom-DASH-L[c] +  (-1) nadp[c] <=>  (1) aspsa[c] +  (1) nadph[c],Threonine and Lysine Metabolism,17.60383447,2.324844903
1404,homoserine kinase,2.7.1.39, (-1) atp[c] +  (-1) hom-DASH-L[c] <=>  (1) adp[c] +  (1) phom[c],Threonine and Lysine Metabolism,-30.23875967,1.733323163
1405,homoserine O-succinyltransferase,2.3.1.46, (-1) hom-DASH-L[c] +  (-1) succoa[c] <=>  (1) coa[c] +  (1) suchms[c],Methionine Metabolism,-6.169567705,4.080460256
1406,histidinol-phosphate transaminase,2.6.1.9, (-1) glu-DASH-L[c] +  (-1) imacp[c] <=>  (1) akg[c] +  (1) hisp[c],Histidine Metabolism,6.35338174,3.635204461
1407,hypoxanthine dehydrogenase,unknown, (-1) h2o[c] +  (-1) hxan[c] +  (-1) nad[c] <=>  (1) nadh[c] +  (1) xan[c],Nucleotide Salvage Pathway,0,1000000
1408,Hexanoate transport via diffusion (extracellular to periplasm),unknown, (-1) hxa[e] <=>  (1) hxa[p],"Transport, Outer Membrane Porin",0,0
1409,Acetyl-CoA:hexanoate-CoA transferase,2.8.3.8, (-1) accoa[c] +  (-1) hxa[c] <=>  (1) ac[c] +  (1) hxcoa[c],Alternate Carbon Metabolism,-2.836147139,1.495917749
1410,hypoxanthine phosphoribosyltransferase (Hypoxanthine),2.4.2.8, (-1) hxan[c] +  (-1) prpp[c] <=>  (1) imp[c] +  (1) ppi[c],Nucleotide Salvage Pathway,0,1000000
1411,hydrogenase (ubiquinone-8: 2 protons) (periplasm),1.18.99.1, (-1) h2[c] +  (-1) q8[c] <=>  (1) q8h2[c],Oxidative Phosphorylation,-119.2763276,1.414213562
1412,Hydrogenase (menaquinone8: 2 protons) (periplasm),1.18.99.1, (-1) h2[c] +  (-1) mqn8[c] <=>  (1) mql8[c],Oxidative Phosphorylation,-119.2763276,1.414213562
1413,Hydrogenase (Demethylmenaquinone-8: 2 protons) (periplasm),1.18.99.1, (-1) 2dmmq8[c] +  (-1) h2[c] <=>  (1) 2dmmql8[c],Oxidative Phosphorylation,-119.2763276,1.414213562
1414,hypothetical enyme,unknown, (-1) h2o[c] +  (-1) pyam5p[c] <=>  (1) pi[c] +  (1) pydam[c],Cofactor and Prosthetic Group Biosynthesis,-7.947237517,3.055466559
1415,Hypoxanthine transport via diffusion (extracellular to periplasm),unknown, (-1) hxan[e] <=>  (1) hxan[p],"Transport, Outer Membrane Porin",0,0
1416,Hypoxanthine transport (periplasm),unknown, (-1) hxan[p] <=>  (1) hxan[c],"Transport, Inner Membrane",0,0
1417,proton transport via diffusion (extracellular to periplasm),unknown, <=> ,"Transport, Outer Membrane Porin",0,0
1418,isocitrate dehydrogenase (NADP),1.1.1.42, (-1) icit[c] +  (-1) nadp[c] <=>  (1) akg[c] +  (1) co2[c] +  (1) nadph[c],Citric Acid Cycle,-2.739682834,2.095084866
1419,isochorismate synthase,5.4.99.6, (-1) chor[c] <=>  (1) ichor[c],Cofactor and Prosthetic Group Biosynthesis,0.981205203,2.098786274
1420,Isochorismate Synthase,unknown, (-1) chor[c] <=>  (1) ichor[c],Cofactor and Prosthetic Group Biosynthesis,0.981205203,2.098786274
1421,isochorismatase,3.3.2.1, (-1) h2o[c] +  (-1) ichor[c] <=>  (1) 23ddhb[c] +  (1) pyr[c],Cofactor and Prosthetic Group Biosynthesis,-45.10414091,2.891328047
1422,Isocitrate lyase,4.1.3.1, (-1) icit[c] <=>  (1) glx[c] +  (1) succ[c],Anaplerotic Reactions,8.836451754,1.88177738
1423,L-idonate 5-dehydrogenase,unknown, (-1) 5dglcn[c] +  (-1) nadh[c] <=>  (1) idon-DASH-L[c] +  (1) nad[c],Alternate Carbon Metabolism,-25.60898636,3.989808585
1424,L-indonate 5-dehydrogenase (NADP),unknown, (-1) 5dglcn[c] +  (-1) nadph[c] <=>  (1) idon-DASH-L[c] +  (1) nadp[c],Alternate Carbon Metabolism,-23.59998431,3.989808585
1425,"L-idonate transport via proton symport, reversible (periplasm)",unknown, (-1) idon-DASH-L[p] <=>  (1) idon-DASH-L[c],"Transport, Inner Membrane",0,0
1426,L-idonate transport via diffusion (extracellular to periplasm),unknown, (-1) idon-DASH-L[e] <=>  (1) idon-DASH-L[p],"Transport, Outer Membrane Porin",0,0
1427,Imidazole-glycerol-3-phosphate synthase,unknown, (-1) gln-DASH-L[c] +  (-1) prlp[c] <=>  (1) aicar[c] +  (1) eig3p[c] +  (1) glu-DASH-L[c],Histidine Metabolism,-140.091733,9.676493476
1428,imidazoleglycerol-phosphate dehydratase,4.2.1.19, (-1) eig3p[c] <=>  (1) h2o[c] +  (1) imacp[c],Histidine Metabolism,-35.92541113,2.19578732
1429,indole-3-glycerol-phosphate synthase,4.1.1.48, (-1) 2cpr5p[c] <=>  (1) 3ig3p[c] +  (1) co2[c] +  (1) h2o[c],"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-68.29052836,5.955498327
1430,isoleucine transaminase,2.6.1.42, (-1) akg[c] +  (-1) ile-DASH-L[c] <=>  (1) 3mop[c] +  (1) glu-DASH-L[c],"Valine, Leucine, and Isoleucine Metabolism",-10.62833504,3.98749135
1431,Isoleucyl-tRNA synthetase,6.1.1.5, (-1) atp[c] +  (-1) ile-DASH-L[c] +  (-1) trnaile[c] <=>  (1) amp[c] +  (1) iletrna[c] +  (1) ppi[c],tRNA Charging,-17.92646887,4.690542308
1432,L-isoleucine transport via ABC system (periplasm),unknown, (-1) atp[c] +  (-1) h2o[c] +  (-1) ile-DASH-L[p] <=>  (1) adp[c] +  (1) ile-DASH-L[c] +  (1) pi[c],"Transport, Inner Membrane",-29.4361481,1.459542669
1433,L-isoleucine reversible transport via proton symport (periplasm),unknown, (-1) ile-DASH-L[p] <=>  (1) ile-DASH-L[c],"Transport, Inner Membrane",0,0
1434,L-isoleucine transport via diffusion (extracellular to periplasm),unknown, (-1) ile-DASH-L[e] <=>  (1) ile-DASH-L[p],"Transport, Outer Membrane Porin",0,0
1435,IMP cyclohydrolase,3.5.4.10, (-1) h2o[c] +  (-1) imp[c] <=>  (1) fprica[c],Purine and Pyrimidine Biosynthesis,-22.72301877,9.170647291
1436,IMP dehydrogenase,1.1.1.205, (-1) h2o[c] +  (-1) imp[c] +  (-1) nad[c] <=>  (1) nadh[c] +  (1) xmp[c],Purine and Pyrimidine Biosynthesis,8.91813305,6.162210636
1437,IMP transport via diffusion (extracellular to periplasm),unknown, (-1) imp[e] <=>  (1) imp[p],"Transport, Outer Membrane Porin",0,0
1438,"Indole transport via proton symport, irreversible (periplasm)",unknown, (-1) indole[c] <=>  (1) indole[p],"Transport, Inner Membrane",0,0
1439,"Indole transport via proton symport, reversible (periplasm)",unknown, (-1) indole[p] <=>  (1) indole[c],"Transport, Inner Membrane",0,0
1440,Indole transport via diffusion (extracellular to periplasm),unknown, (-1) indole[e] <=>  (1) indole[p],"Transport, Outer Membrane Porin",0,0
1441,Na+/myo-inositol symporter (periplasm),unknown, (-1) inost[p] +  (-1) na1[p] <=>  (1) inost[c] +  (1) na1[c],"Transport, Inner Membrane",0,0
1442,Inosine hydrolase,3.2.2.8, (-1) h2o[c] +  (-1) ins[c] <=>  (1) hxan[c] +  (1) rib-DASH-D[c],Nucleotide Salvage Pathway,0,1000000
1443,insosine kinase,2.7.1.73, (-1) atp[c] +  (-1) ins[c] <=>  (1) adp[c] +  (1) imp[c],Nucleotide Salvage Pathway,-22.77701024,2.346216109
1444,inositol transport via diffusion (extracellular to periplasm),unknown, (-1) inost[e] <=>  (1) inost[p],"Transport, Outer Membrane Porin",0,0
1445,inosine transport in via proton symport (periplasm),unknown, (-1) ins[p] <=>  (1) ins[c],"Transport, Inner Membrane",0,0
1446,"inosine transport in via proton symport, reversible (periplasm)",unknown, (-1) ins[p] <=>  (1) ins[c],"Transport, Inner Membrane",0,0
1447,inosine transport via diffusion (extracellular to periplasm),unknown, (-1) ins[e] <=>  (1) ins[p],"Transport, Outer Membrane",0,0
1448,isopentenyl-diphosphate D-isomerase,5.3.3.2, (-1) ipdp[c] <=>  (1) dmpp[c],Cofactor and Prosthetic Group Biosynthesis,-4.902391002,3.635204461
1449, 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),unknown, (-1) h2mb4p[c] +  (-1) nadh[c] <=>  (1) h2o[c] +  (1) ipdp[c] +  (1) nad[c],Cofactor and Prosthetic Group Biosynthesis,-58.04823299,2.474341104
1450, 3-isopropylmalate dehydrogenase,1.1.1.85, (-1) 3c2hmp[c] +  (-1) nad[c] <=>  (1) 3c4mop[c] +  (1) nadh[c],"Valine, Leucine, and Isoleucine Metabolism",21.7260035,1.062307243
1451, 3-isopropylmalate dehydratase,4.2.1.33, (-1) 3c2hmp[c] <=>  (1) 2ippm[c] +  (1) h2o[c],"Valine, Leucine, and Isoleucine Metabolism",-3.375677164,1.75817199
1452, 2-isopropylmalate hydratase,4.2.1.33, (-1) 2ippm[c] +  (-1) h2o[c] <=>  (1) 3c3hmp[c],"Valine, Leucine, and Isoleucine Metabolism",3.375677164,1.75817199
1453, 2-isopropylmalate synthase,4.1.3.12, (-1) 3mob[c] +  (-1) accoa[c] +  (-1) h2o[c] <=>  (1) 3c3hmp[c] +  (1) coa[c],"Valine, Leucine, and Isoleucine Metabolism",-26.6704228,1.437418671
1454,isethionate transport via ABC system (periplasm),unknown, (-1) atp[c] +  (-1) h2o[c] +  (-1) isetac[p] <=>  (1) adp[c] +  (1) isetac[c] +  (1) pi[c],"Transport, Inner Membrane",-29.4361481,1.459542669
1455,isethionate transport via diffusion (extracellular to periplasm),unknown, (-1) isetac[e] <=>  (1) isetac[p],"Transport, Outer Membrane Porin",0,0
1456,KDO(2)-lipid IV A transport via ABC system (periplasm),unknown, (-1) atp[c] +  (-1) h2o[c] +  (-1) kdo2lipid4[c] <=>  (1) adp[c] +  (1) kdo2lipid4[p] +  (1) pi[c],"Transport, Inner Membrane",-29.4361481,1.459542669
1457,KDO(2)-lipid IV A transport via vector (periplasm to extracellular),unknown, (-1) kdo2lipid4[p] <=>  (1) kdo2lipid4[e],"Transport, Outer Membrane",0,0
1458,"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",1.1.1.86, (-1) 23dhmb[c] +  (-1) nadp[c] <=>  (1) alac-DASH-S[c] +  (1) nadph[c],"Valine, Leucine, and Isoleucine Metabolism",19.69203181,1.062307243
1459,ketol-acid reductoisomerase (2-Acetolactate),1.1.1.86, (-1) 2ahbut[c] +  (-1) nadph[c] <=>  (1) 23dhmp[c] +  (1) nadp[c],"Valine, Leucine, and Isoleucine Metabolism",-19.6921616,1.062307243
1460,beta-ketoacyl-ACP synthase,2.3.1.41, (-1) acACP[c] +  (-1) malACP[c] <=>  (1) ACP[c] +  (1) actACP[c] +  (1) co2[c],Membrane Lipid Metabolism,-1.93072696,1.937099046
1461,beta-ketoacyl-ACP synthase (2),unknown, (-1) accoa[c] +  (-1) malACP[c] <=>  (1) actACP[c] +  (1) co2[c] +  (1) coa[c],Membrane Lipid Metabolism,2.275124258,1.840875917
1462, 3-ketoacyl-CoA thiolase,2.3.1.16, (-1) aacoa[c] +  (-1) coa[c] <=>  (2) accoa[c],Membrane Lipid Metabolism,-25.28502711,1.167620588
1463, 3-ketoacyl-CoA thiolase,2.3.1.16, (-1) 3ohcoa[c] +  (-1) coa[c] <=>  (1) accoa[c] +  (1) btcoa[c],Membrane Lipid Metabolism,-29.43384507,1.915103917
1464, 3-ketoacyl-CoA thiolase,2.3.1.16, (-1) 3oocoa[c] +  (-1) coa[c] <=>  (1) accoa[c] +  (1) hxcoa[c],Membrane Lipid Metabolism,-32.20658187,0.879876193
1465, 3-ketoacyl-CoA thiolase,2.3.1.16, (-1) 3odcoa[c] +  (-1) coa[c] <=>  (1) accoa[c] +  (1) occoa[c],Membrane Lipid Metabolism,-32.20658187,0.879876193
1466, 3-ketoacyl-CoA thiolase,2.3.1.16, (-1) 3oddcoa[c] +  (-1) coa[c] <=>  (1) accoa[c] +  (1) dcacoa[c],Membrane Lipid Metabolism,-32.20700027,0.879876193
1467, 3-ketoacyl-CoA thiolase,2.3.1.16, (-1) 3otdcoa[c] +  (-1) coa[c] <=>  (1) accoa[c] +  (1) ddcacoa[c],Membrane Lipid Metabolism,-32.20658187,0.879876193
1468, 3-ketoacyl-CoA thiolase,2.3.1.16, (-1) 3ohdcoa[c] +  (-1) coa[c] <=>  (1) accoa[c] +  (1) tdcoa[c],Membrane Lipid Metabolism,-32.20658187,0.879876193
1469, 3-ketoacyl-CoA thiolase,2.3.1.16, (-1) 3oodcoa[c] +  (-1) coa[c] <=>  (1) accoa[c] +  (1) pmtcoa[c],Membrane Lipid Metabolism,-33.64713307,1.982249011
1470, 3-deoxy-manno-octulosonate cytidylyltransferase,2.7.7.38, (-1) ctp[c] +  (-1) kdo[c] <=>  (1) ckdo[c] +  (1) ppi[c],Lipopolysaccharide Biosynthesis / Recycling,0,1000000
1471, 3-deoxy-manno-octulosonate-8-phosphatase,3.1.3.45, (-1) h2o[c] +  (-1) kdo8p[c] <=>  (1) kdo[c] +  (1) pi[c],Lipopolysaccharide Biosynthesis / Recycling,-8.05977861,2.070385065
1472, 3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase,4.1.2.16, (-1) ara5p[c] +  (-1) h2o[c] +  (-1) pep[c] <=>  (1) kdo8p[c] +  (1) pi[c],Lipopolysaccharide Biosynthesis / Recycling,-63.76506351,2.208314239
1473, 3-keto-L-gulonate 6-phosphate decarboxylase,unknown, (-1) 3dhgulnp[c] <=>  (1) co2[c] +  (1) xu5p-DASH-L[c],Alternate Carbon Metabolism,-12.10891322,2.253450747
1474,Potassium ABC transporter (periplasm),unknown, (-1) atp[c] +  (-1) h2o[c] +  (-1) k[p] <=>  (1) adp[c] +  (1) k[c] +  (1) pi[c],Inorganic Ion Transport and Metabolism,-29.4361481,1.459542669
1475,potassium transport in via proton symport (periplasm),unknown, (-1) k[p] <=>  (1) k[c],Inorganic Ion Transport and Metabolism,0,0
1476,potassium transport out via proton antiport (periplasm),unknown, (-1) k[c] <=>  (1) k[p],Inorganic Ion Transport and Metabolism,0,0
1477,potassium transport via diffusion (extracellular to periplasm),unknown, (-1) k[e] <=>  (1) k[p],"Transport, Outer Membrane Porin",0,0
1478," 4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))",unknown, (-1) colipa[p] +  (-1) uLa4n[p] <=>  (1) acolipa[p] +  (1) udcpp[p],Lipopolysaccharide Biosynthesis / Recycling,24.67407859,0
1479,b-galactosidase,3.2.1.23, (-1) h2o[c] +  (-1) lcts[c] <=>  (1) gal[c] +  (1) glc-DASH-D[c],Alternate Carbon Metabolism,-15.50777228,2.556588901
1480,b-galactosidase,3.2.1.108, (-1) h2o[p] +  (-1) lcts[p] <=>  (1) gal[p] +  (1) glc-DASH-D[p],Alternate Carbon Metabolism,-15.50777228,2.556588901
1481,L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase,unknown, (-1) LalaDgluMdap[c] +  (-1) h2o[c] <=>  (1) 26dap-DASH-M[c] +  (1) LalaDglu[c],Murein Recycling,0.874353906,2.359924448
1482,D-Lactaldehyde:NAD+ 1-oxidoreductase,1.1.1.21, (-1) mthgxl[c] +  (-1) nadh[c] <=>  (1) lald-DASH-D[c] +  (1) nad[c],Methylglyoxal Metabolism,-14.55220444,2.631955279
1483,L-alanyl-gamma-L-glutamate peptidase,unknown, (-1) LalaLglu[c] +  (-1) h2o[c] <=>  (1) ala-DASH-L[c] +  (1) glu-DASH-L[c],Murein Recycling,-10.24083707,3.017647407
1484,lactaldehyde dehydrogenase,1.2.1.21, (-1) h2o[c] +  (-1) lald-DASH-L[c] +  (-1) nad[c] <=>  (1) lac-DASH-L[c] +  (1) nadh[c],Alternate Carbon Metabolism,-47.36182095,2.456601542
1485,"lacaldehyde reductase (R-propane-1,2-diol forming)",1.1.1.77, (-1) lald-DASH-D[c] +  (-1) nadh[c] <=>  (1) 12ppd-DASH-R[c] +  (1) nad[c],Methylglyoxal Metabolism,-28.49496515,2.074530759
1486,"lacaldehyde reductase (S-propane-1,2-diol forming)",1.1.1.77, (-1) lald-DASH-L[c] +  (-1) nadh[c] <=>  (1) 12ppd-DASH-S[c] +  (1) nad[c],Alternate Carbon Metabolism,-28.49496515,2.074530759
1487,Lactose transport via proton aniport (periplasm),unknown, (-1) lcts[c] <=>  (1) lcts[p],"Transport, Inner Membrane",0,0
1488,Lactose transport via diffusion (extracellular to periplasm),unknown, (-1) lcts[e] <=>  (1) lcts[p],"Transport, Outer Membrane Porin",0,0
1489,Lactose transport via proton symport (periplasm),unknown, (-1) lcts[p] <=>  (1) lcts[c],"Transport, Inner Membrane",0,0
1490,D-lactate dehydrogenase,1.1.1.28, (-1) lac-DASH-D[c] +  (-1) nad[c] <=>  (1) nadh[c] +  (1) pyr[c],Pyruvate Metabolism,25.07192456,1.161920068
1491,D-lactate dehydrogenase,1.1.2.4, (-1) lac-DASH-D[c] +  (-1) q8[c] <=>  (1) pyr[c] +  (1) q8h2[c],Oxidative Phosphorylation,-55.70306859,1.161920068
1492,leucine transaminase (irreversible),2.6.1.42, (-1) 4mop[c] +  (-1) glu-DASH-L[c] <=>  (1) akg[c] +  (1) leu-DASH-L[c],"Valine, Leucine, and Isoleucine Metabolism",0.450467253,1.948298468
1493,Leucyl-tRNA synthetase,6.1.1.4, (-1) atp[c] +  (-1) leu-DASH-L[c] +  (-1) trnaleu[c] <=>  (1) amp[c] +  (1) leutrna[c] +  (1) ppi[c],tRNA Charging,-13.14262142,4.043093128
1494,L-leucine transport via ABC system (periplasm),unknown, (-1) atp[c] +  (-1) h2o[c] +  (-1) leu-DASH-L[p] <=>  (1) adp[c] +  (1) leu-DASH-L[c] +  (1) pi[c],"Transport, Inner Membrane",-29.4361481,1.459542669
1495,L-leucine reversible transport via proton symport (periplasm),unknown, (-1) leu-DASH-L[p] <=>  (1) leu-DASH-L[c],"Transport, Inner Membrane",0,0
1496,L-leucine transport via diffusion (extracellular to periplasm),unknown, (-1) leu-DASH-L[e] <=>  (1) leu-DASH-L[p],"Transport, Outer Membrane Porin",0,0
1497,lactoylglutathione lyase,4.4.1.5, (-1) gthrd[c] +  (-1) mthgxl[c] <=>  (1) lgt-DASH-S[c],Methylglyoxal Metabolism,-23.46298895,3.635204461
1498,lipid (cold) A transport via ABC system (periplasm),unknown, (-1) atp[c] +  (-1) h2o[c] +  (-1) lipa-cold[c] <=>  (1) adp[c] +  (1) lipa-cold[p] +  (1) pi[c],Lipopolysaccharide Biosynthesis / Recycling,-29.4361481,1.459542669
1499,core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane),unknown, (-1) colipa[e] +  (-1) hdca[e] <=>  (1) h2o[e] +  (1) hacolipa[e],Lipopolysaccharide Biosynthesis / Recycling,18.84215338,7.227095969
